id,country_name,region,flight
571,France,ANZ,> 10h
572,Spain,ANZ,> 10h
573,Portugal,ANZ,> 10h
574,Italy,ANZ,> 10h
575,Greece,ANZ,> 10h
576,Czech Republic,ANZ,> 10h
577,Belgium,ANZ,> 10h
578,Turkey,ANZ,> 10h
579,Jordan,ANZ,> 10h
580,U.A.E,ANZ,> 10h
581,Egypt,ANZ,> 10h
582,Tanzania,ANZ,> 10h
583,Kenya,ANZ,> 10h
584,Seychelles,ANZ,> 10h
585,Madagascar,ANZ,> 10h
586,South Africa,ANZ,> 10h
587,Morocco,ANZ,> 10h
588,China,ANZ,> 10h
589,India,ANZ,> 10h
590,Nepal,ANZ,> 10h
591,Thailand,ANZ,> 10h
592,Vietnam,ANZ,> 10h
593,Australia,ANZ,< 3h
594,New Zealand,ANZ,< 3h
595,Japan,ANZ,> 10h
596,Indonesia,ANZ,> 10h
597,Cambodia,ANZ,> 10h
598,Netherlands,ANZ,> 10h
599,Finland,ANZ,> 10h
600,Norway,ANZ,> 10h
601,Sweden,ANZ,> 10h
602,Croatia,ANZ,> 10h
